Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport,MASI,MASI 20,MASI ESG,MASI Mid and Small Cap
AFMA,1295.0,1295.0,0.0,1295.0,1.0,2023-04-07,10461.41,839.73,793.29,852.69
AFMA,1295.0,1295.0,0.0,1295.0,1.0,2023-04-10,10488.37,839.0,794.27,857.55
AFMA,1295.0,1295.0,0.0,1295.0,1.0,2023-04-11,10492.8,838.89,793.46,856.23
AFMA,1295.0,1275.0,-0.0154,48706275.0,38201.0,2023-04-12,10493.74,839.29,794.27,852.98
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-04-13,10462.33,837.19,790.32,851.52
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-04-14,10470.49,840.48,792.28,848.09
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-04-17,10477.34,839.13,792.0,846.65
AFMA,1275.0,1285.0,0.0078,1285.0,1.0,2023-04-18,10477.73,838.23,790.93,853.03
AFMA,1285.0,1285.0,0.0,1285.0,1.0,2023-04-19,10466.76,838.98,792.41,847.08
AFMA,1285.0,1295.0,0.0078,1295.0,1.0,2023-04-20,10482.19,842.67,792.28,849.7
AFMA,1295.0,1295.0,0.0,1295.0,1.0,2023-04-21,10494.69,844.06,789.49,848.78
AFMA,1295.0,1295.0,0.0,1295.0,1.0,2023-04-25,10499.26,844.28,787.89,853.57
AFMA,1295.0,1295.0,0.0,1295.0,1.0,2023-04-26,10454.85,838.25,782.6,856.81
AFMA,1295.0,1295.0,0.0,1295.0,1.0,2023-04-27,10469.77,840.12,783.39,865.75
AFMA,1295.0,1295.0,0.0,1295.0,1.0,2023-04-28,10525.22,848.13,789.66,865.46
AFMA,1295.0,1285.0,-0.0077,1285.0,1.0,2023-05-02,10431.19,840.54,783.62,860.89
AFMA,1285.0,1285.0,0.0,1285.0,1.0,2023-05-03,10410.67,838.55,779.45,859.33
AFMA,1285.0,1285.0,0.0,1285.0,1.0,2023-05-04,10408.41,837.13,779.33,864.52
AFMA,1285.0,1260.0,-0.0195,12600.0,10.0,2023-05-05,10390.66,835.44,772.83,863.12
AFMA,1260.0,1275.0,0.0118999999999999,1275.0,1.0,2023-05-08,10420.74,838.23,777.13,865.9
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-09,10409.17,836.85,774.98,867.71
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-10,10482.49,844.21,783.75,867.74
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-11,10578.97,852.32,791.05,871.96
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-12,10733.63,866.98,803.78,876.79
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-15,10743.83,870.72,806.37,879.66
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-16,10804.6,876.66,809.17,880.19
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-17,10777.63,871.39,804.23,880.74
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-18,10746.37,868.55,802.24,880.23
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-19,10764.97,869.9,803.08,878.86
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-22,10760.76,870.03,804.28,876.49
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-23,10775.85,869.5,805.24,875.34
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-24,10912.72,881.58,816.82,878.26
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-25,10813.03,871.68,806.46,875.29
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-05-26,10943.66,885.26,815.75,878.98
AFMA,1254.0,1254.0,0.0,1254.0,1.0,2023-06-21,11491.86,932.29,858.27,921.08
AFMA,1254.0,1254.0,0.0,1254.0,1.0,2023-06-22,11474.39,930.28,856.72,921.28
AFMA,1254.0,1255.0,0.0008,1255.0,1.0,2023-06-23,11537.23,939.23,863.59,914.85
AFMA,1255.0,1255.0,0.0,1255.0,1.0,2023-06-26,11504.06,935.18,861.51,912.95
AFMA,1255.0,1230.0,-0.0199,24600.0,20.0,2023-06-27,11542.87,939.36,862.92,917.84
AFMA,1230.0,1200.0,-0.0243999999999999,1049838.0,874.0,2023-06-28,11579.76,942.77,868.72,913.69
AFMA,1200.0,1224.0,0.02,1224.0,1.0,2023-07-03,11544.61,937.45,864.83,918.25
AFMA,1224.0,1248.0,0.0196,1248.0,1.0,2023-07-04,11601.91,945.29,869.28,923.28
AFMA,1248.0,1254.0,0.0048,1254.0,1.0,2023-07-05,11677.95,949.95,874.42,925.81
AFMA,1254.0,1236.0,-0.0144,54384.0,44.0,2023-07-06,11621.72,942.82,869.99,928.49
AFMA,1236.0,1254.0,0.0146,1254.0,1.0,2023-07-07,11575.81,938.35,865.89,928.75
AFMA,1254.0,1279.0,0.0199,3837.0,3.0,2023-07-10,11546.59,937.13,863.9,926.11
AFMA,1279.0,1275.0,-0.0031,1275.0,1.0,2023-07-11,11532.99,937.61,862.37,923.21
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-07-12,11540.53,938.73,865.09,921.08
AFMA,1275.0,1275.0,0.0,1275.0,1.0,2023-07-13,11488.31,931.87,859.67,918.06
AFMA,1275.0,1250.0,-0.0196,1250.0,1.0,2023-07-14,11546.96,935.73,864.32,924.44
AFMA,1250.0,1220.0,-0.024,3660.0,3.0,2023-07-17,11537.16,934.82,863.63,921.29
AFMA,1220.0,1239.0,0.0156,1239.0,1.0,2023-07-18,11684.77,948.66,875.43,928.38
AFMA,1239.0,1254.0,0.0121,1254.0,1.0,2023-07-20,11735.54,953.72,879.56,930.02
AFMA,1254.0,1254.0,0.0,1254.0,1.0,2023-07-21,11793.5,957.43,885.2,936.24
AFMA,1254.0,1254.0,0.0,1254.0,1.0,2023-07-24,11755.83,953.36,882.77,937.58
AFMA,1254.0,1254.0,0.0,1254.0,1.0,2023-07-25,11774.05,956.58,884.1,928.52
AFMA,1254.0,1254.0,0.0,1254.0,1.0,2023-07-26,11832.89,960.92,892.37,931.04
AFMA,1254.0,1261.0,0.0056,7583.0,6.0,2023-07-27,11993.58,973.43,904.41,936.98
AFMA,1261.0,1261.0,0.0,1261.0,1.0,2023-07-28,12058.66,979.1,908.1,945.14
AFMA,1261.0,1264.0,0.0024,6320.0,5.0,2023-07-31,12083.34,982.5,910.06,955.37
AFMA,1264.0,1264.0,0.0,1264.0,1.0,2023-08-01,12131.19,987.68,911.71,956.15
AFMA,1264.0,1300.0,0.0285,38700.0,30.0,2023-08-02,12203.87,992.48,921.07,957.75
AFMA,1300.0,1293.0,-0.0054,1293.0,1.0,2023-08-03,12142.0,986.16,913.0,956.12
AFMA,1293.0,1300.0,0.0054,1300.0,1.0,2023-08-04,12106.05,984.04,907.29,960.8
AFMA,1300.0,1305.0,0.0038,1305.0,1.0,2023-08-07,12083.53,981.02,907.45,963.12
AFMA,1305.0,1315.0,0.0077,1315.0,1.0,2023-08-08,12074.06,980.0,908.07,964.31
AFMA,1315.0,1314.0,-0.0008,1314.0,1.0,2023-08-09,12034.04,976.73,905.23,961.37
AFMA,1314.0,1315.0,0.0008,1315.0,1.0,2023-08-10,12055.65,978.61,905.89,964.85
AFMA,1315.0,1315.0,0.0,1315.0,1.0,2023-08-11,12016.87,973.68,901.62,963.85
AFMA,1315.0,1341.0,0.0197999999999999,4023.0,3.0,2023-08-15,12021.95,973.65,903.31,962.77
AFMA,1341.0,1327.0,-0.0104,13270.0,10.0,2023-08-16,12011.59,972.94,902.05,964.41
AFMA,1327.0,1327.0,0.0,9289.0,7.0,2023-08-17,11988.62,972.03,898.62,963.62
AFMA,1327.0,1301.0,-0.0196,24719.0,19.0,2023-08-18,11971.99,970.16,895.99,963.02
AFMA,1301.0,1315.0,0.0108,1315.0,1.0,2023-08-22,11891.6,962.54,890.85,961.49
AFMA,1315.0,1315.0,0.0,1315.0,1.0,2023-08-23,11863.61,960.52,887.07,960.86
AFMA,1315.0,1290.0,-0.019,29676.0,23.0,2023-08-24,11876.75,961.55,890.83,954.92
AFMA,1290.0,1310.0,0.0155,1310.0,1.0,2023-08-25,11898.62,963.86,891.72,951.03
AFMA,1255.0,1263.0,0.0064,1263.0,1.0,2023-08-28,11863.66,960.03,890.55,954.33
AFMA,1263.0,1260.0,-0.0024,27720.0,22.0,2023-08-29,11899.92,962.3,893.68,955.56
AFMA,1260.0,1259.0,-0.0008,1259.0,1.0,2023-08-30,11903.46,961.27,892.9,963.85
AFMA,1259.0,1259.0,0.0,1259.0,1.0,2023-08-31,11954.29,966.77,897.02,969.14
AFMA,1259.0,1259.0,0.0,1259.0,1.0,2023-09-01,11886.92,961.34,888.43,971.06
AFMA,1259.0,1259.0,0.0,1259.0,1.0,2023-09-04,11871.36,960.32,888.51,978.39
AFMA,1259.0,1234.0,-0.0199,24680.0,20.0,2023-09-05,11852.24,959.0,884.87,982.72
AFMA,1234.0,1230.0,-0.0032,22140.0,18.0,2023-09-06,11745.08,951.2,877.87,974.98
AFMA,1230.0,1249.0,0.0154,1249.0,1.0,2023-09-07,11752.38,949.59,876.63,979.09
AFMA,1249.0,1249.0,0.0,1249.0,1.0,2023-09-08,11712.37,948.16,871.28,977.19
AFMA,1249.0,1235.0,-0.0112,6175.0,5.0,2023-09-11,11725.83,952.22,872.7,967.97
