Action,Cours_ref,Cours_Cloture,Variation,Volume,Quantite,Date_Rapport
AFMA,1378.0,1301.0,-0.0559,1301.0,1.0,2025-09-10
AFRIC INDUSTRIES SA,328.2,332.0,0.0116,13528.95,41.0,2025-09-10
AFRIQUIA GAZ,4300.0,4478.0,0.0414,1112850.0,252.0,2025-09-10
AKDITAL,1517.0,1540.0,0.0152,2148637.0,1396.0,2025-09-10
ALLIANCES,520.0,535.0,0.0288,5791662.2,10831.0,2025-09-10
ALUMINIUM DU MAROC,1828.0,1840.0,0.0066,292295.0,159.0,2025-09-10
ARADEI CAPITAL,465.0,465.0,0.0,909192.75,1956.0,2025-09-10
ATLANTASANAD,159.55,158.95,-0.0038,327438.7,2058.0,2025-09-10
ATTIJARIWAFA BANK,758.0,774.9,0.0223,12534496.5,16305.0,2025-09-10
AUTO HALL,98.1,101.9,0.0387,2490383.4,24784.0,2025-09-10
BALIMA,315.0,315.0,0.0,2520.0,8.0,2025-09-10
BCP,308.0,311.0,0.0097,3828001.5,12283.0,2025-09-10
BMCI,595.0,595.0,0.0,20920.0,35.0,2025-09-10
CARTIER SAADA,39.0,39.0,0.0,136518.6,3536.0,2025-09-10
CDM,1041.0,1040.0,-0.001,124925.0,120.0,2025-09-10
CFG BANK,246.0,244.0,-0.008100000000000001,3203014.9,13107.0,2025-09-10
CIH,402.0,415.0,0.0323,1153448.6,2772.0,2025-09-10
CIMENTS DU MAROC,1950.0,2030.0,0.040999999999999995,16509641.0,8242.0,2025-09-10
CMGP GROUP,396.0,404.0,0.0202,18482159.55,45753.0,2025-09-10
COLORADO,98.0,100.0,0.0204,3076363.25,30590.0,2025-09-10
COSUMAR,215.5,226.0,0.0487,1132088.2,5037.0,2025-09-10
CTM,992.0,1013.0,0.0212,263256.3,261.0,2025-09-10
DELTA HOLDING,82.0,84.96,0.0361,2046708.81,24179.0,2025-09-10
DISTY TECHNOLOGIES,390.0,404.9,0.0382,1203255.85,2973.0,2025-09-10
DISWAY,888.0,889.0,0.0011,173941.0,196.0,2025-09-10
DOUJA PROM ADDOHA,40.0,41.0,0.025,2871910.58,70899.0,2025-09-10
ENNAKL,48.51,53.36,0.1,2591525.01,48965.0,2025-09-10
EQDOM,1300.0,1300.0,0.0,1294800.0,996.0,2025-09-10
FENIE BROSSETTE,480.0,475.0,-0.0104,2626247.75,5493.0,2025-09-10
HPS,566.0,567.0,0.0018,857212.0,1503.0,2025-09-10
IB MAROC.COM,75.0,74.6,-0.0053,24153.8,320.0,2025-09-10
IMMORENTE INVEST,89.0,89.01,0.0001,294535.75,3308.0,2025-09-10
INVOLYS,154.0,155.5,0.0097,206507.0,1347.0,2025-09-10
ITISSALAT AL-MAGHRIB,122.0,122.5,0.0040999999999999995,7164376.45,58278.0,2025-09-10
JET CONTRACTORS,2445.0,2470.0,0.0102,20067951.0,8161.0,2025-09-10
LABEL VIE,4850.0,4900.0,0.0103,24500.0,5.0,2025-09-10
LafargeHolcim Maroc,1999.0,2013.0,0.006999999999999999,32346277.0,16116.0,2025-09-10
M2M Group,507.4,507.6,0.0004,10658.7,2156.0,2025-09-10
MAGHREBAIL,902.0,903.0,0.0011,18060.0,20.0,2025-09-10
MAROC LEASING,380.1,385.0,0.0129,3850.0,10.0,2025-09-10
MED PAPER,32.4,33.29,0.0275,440965.55,13392.0,2025-09-10
MINIERE TOUISSIT,2759.0,2750.0,-0.0033,104491.0,38.0,2025-09-10
MUTANDIS SCA,281.0,294.0,0.0463,261546.0,893.0,2025-09-10
REALISATIONS MECANIQUES,512.0,561.1,0.0959,12713.6,23.0,2025-09-10
REBAB COMPANY,108.0,108.0,0.0,1620.0,15.0,2025-09-10
RESIDENCES DAR SAADA,157.9,162.5,0.0291,21566561.6,133167.0,2025-09-10
RISMA,419.0,428.0,0.0215,334316.5,785.0,2025-09-10
S.M MONETIQUE,666.0,680.0,0.021,110100.0,163975.0,2025-09-10
SALAFIN,600.0,598.9,-0.0018,29945.0,50.0,2025-09-10
SANLAM MAROC,2080.0,2080.0,0.0,4130.0,2.0,2025-09-10
SMI,2473.0,2539.0,0.026699999999999998,591809.0,235.0,2025-09-10
SOCIETE DES BOISSONS DU,2180.0,2187.0,0.0032,21870.0,10.0,2025-09-10
SODEP-Marsa Maroc,970.0,985.0,0.0155,28561152.9,28979.0,2025-09-10
SONASID,2550.0,2551.0,0.0004,540065.0,212.0,2025-09-10
SOTHEMA,1869.0,1884.0,0.008,82848.0,44.0,2025-09-10
TGCC S.A,991.0,1007.0,0.0161,28095150.0,27874.0,2025-09-10
TOTALENERGIES MARKETING,1738.0,1760.0,0.0127,1629405.0,92617.0,2025-09-10
