Action,Cours_Prec,Cours_Cloture,Var_Trim,Volume,Quantite,Nb_Seances,Date_Rapport
AFMA,1160.0,1101.0,-0.0509,5780905.0,5189.0,64.0,20241231
AFRIC INDUSTRIES SA,310.75,303.95,-0.0219,9321367.15,30911.0,63.0,20241231
AFRIQUIA GAZ,3805.0,3760.0,-0.0118,125856930.0,32999.0,57.0,20241231
AGMA,6956.0,6875.0,-0.0116,72153.0,11.0,6.0,20241231
AKDITAL,1071.0,1052.0,-0.0177,978742431.5,937896.0,64.0,20241231
ALLIANCES,323.0,480.0,0.4861,1253438770.3,3371778.0,64.0,20241231
ALUMINIUM DU MAROC,1385.0,1442.0,0.0412,3564514.0,2565.0,46.0,20241231
ARADEI CAPITAL,497.0,479.95,-0.034300000000000004,242862182.55,485222.0,63.0,20241231
ATLANTASANAD,139.95,127.5,-0.08900000000000001,45530226.55,350063.0,62.0,20241231
ATTIJARIWAFA BANK,543.0,569.0,0.0479,1805472089.4,3212649.0,64.0,20241231
AUTO HALL,72.5,66.0,-0.0897,82590501.42,1226836.0,64.0,20241231
AUTO NEJMA,2068.0,2068.0,0.0,72380.0,35.0,1.0,20241231
BALIMA,230.0,219.0,-0.0478,34530.5,155.0,13.0,20241231
BANK OF AFRICA,193.0,205.0,0.0782,1140105851.8,5816166.0,64.0,20241231
BCP,287.9,275.0,-0.044800000000000006,2006167343.6,6929111.0,64.0,20241231
BMCI,610.0,580.0,-0.0492,83940376.6,148846.0,56.0,20241231
CARTIER SAADA,37.0,35.0,-0.0541,2145769.23,62495.0,62.0,20241231
CDM,891.2,930.0,0.0435,645702128.6,645194.0,58.0,20241231
CFG BANK,188.0,222.0,0.1809,422329633.65,2058887.0,64.0,20241231
CIH,408.0,395.0,-0.0319,383073862.8,960628.0,62.0,20241231
CIMENTS DU MAROC,1800.0,1880.0,0.0444,468227174.0,252447.0,61.0,20241231
CMGP GROUP,200.0,290.0,0.45,1209220750.05,4356897.0,12.0,20241231
COLORADO,53.7,56.0,0.042800000000000005,6246770.05,121178.0,59.0,20241231
COSUMAR,190.8,190.0,-0.0042,269083014.7,1379369.0,64.0,20241231
CTM,660.5,1097.0,0.6609,14118193.7,16897.0,50.0,20241231
DARI COUSPATE,3699.0,3450.0,-0.0673,101288.0,29.0,4.0,20241231
DELATTRE LEVIVIER MAROC,40.0,40.0,0.0,0.0,0.0,0.0,20241231
DELTA HOLDING,58.0,57.0,-0.0172,40885439.21,759182.0,64.0,20241231
DIAC SALAF,26.25,26.25,0.0,0.0,0.0,0.0,20241231
DISTY TECHNOLOGIES,245.0,259.5,0.0592,28371213.6,118990.0,62.0,20241231
DISWAY,662.3,638.0,-0.036699999999999997,23660514.7,36939.0,60.0,20241231
DOUJA PROM ADDOHA,39.25,39.3,0.0013,1436275234.46,38593974.0,64.0,20241231
ENNAKL,34.0,33.01,-0.0291,5113151.95,155881.0,62.0,20241231
EQDOM,1080.0,1219.0,0.12869999999999998,6645559.0,5949.0,23.0,20241231
HPS,546.1,607.0,0.1115,360863178.5,629790.0,64.0,20241231
IB MAROC.COM,38.5,34.92,-0.09300000000000001,693435.93,20481.0,43.0,20241231
IMMORENTE INVEST,91.9,90.0,-0.0207,32338937.53,359470.0,64.0,20241231
INVOLYS,101.95,96.23,-0.056100000000000004,1236748.82,12673.0,54.0,20241231
ITISSALAT AL-MAGHRIB,94.0,82.01,-0.1276,943446187.23,10823580.0,64.0,20241231
JET CONTRACTORS,980.0,1890.0,0.9286,843403397.4,585613.0,64.0,20241231
LABEL VIE,4480.0,4200.0,-0.0625,194175294.0,46293.0,59.0,20241231
LafargeHolcim Maroc,1880.0,1935.0,0.029300000000000003,410033344.0,215051.0,64.0,20241231
LESIEUR CRISTAL,290.0,300.0,0.0345,73859231.4,267586.0,40.0,20241231
M2M Group,549.0,529.0,-0.0364,973249.9,1780.0,34.0,20241231
MAGHREBAIL,925.0,900.0,-0.027000000000000003,1574125.0,1745.0,21.0,20241231
MAGHREB OXYGENE,220.0,245.05,0.1139,630895.3,2637.0,37.0,20241231
MANAGEM,2758.0,2889.0,0.0475,192755322.0,68361.0,60.0,20241231
MAROC LEASING,370.0,370.0,0.0,97918.2,262.0,14.0,20241231
MED PAPER,21.29,20.53,-0.035699999999999996,3374406.59,164661.0,64.0,20241231
MICRODATA,658.0,605.0,-0.0805,16535765.8,26140.0,43.0,20241231
MINIERE TOUISSIT,1621.0,1616.0,-0.0031,128972313.0,83705.0,61.0,20241231
MUTANDIS SCA,299.0,304.0,0.0167,165352370.9,549825.0,64.0,20241231
OULMES,1315.0,1233.0,-0.062400000000000004,31220.0,25.0,3.0,20241231
PROMOPHARM S.A.,1150.0,950.0,-0.1739,2233187.6,2368.0,37.0,20241231
REALISATIONS MECANIQUES,462.7,400.0,-0.1355,23694881.8,46100.0,61.0,20241231
REBAB COMPANY,104.45,100.0,-0.0426,5249.0,51.0,5.0,20241231
RESIDENCES DAR SAADA,75.78,75.2,-0.0077,430415430.56,5612649.0,64.0,20241231
RISMA,219.8,224.05,0.019299999999999998,57424716.15,258509.0,64.0,20241231
SALAFIN,575.0,548.0,-0.047,5612110.0,10111.0,35.0,20241231
SAMIR,127.8,127.8,0.0,0.0,0.0,0.0,20241231
SANLAM MAROC,1968.0,1829.0,-0.0706,2493131.0,1337.0,33.0,20241231
SMI,2299.0,1971.0,-0.1427,34528581.0,16301.0,55.0,20241231
S.M MONETIQUE,230.35,235.0,0.0202,15638458.65,60458.0,54.0,20241231
SNEP,476.0,595.0,0.25,121919634.35,224865.0,63.0,20241231
SOCIETE DES BOISSONS DU M,2567.0,2360.0,-0.0806,118462577.0,51633.0,52.0,20241231
SODEP-Marsa Maroc,472.0,536.0,0.1356,1334214155.75,2713077.0,64.0,20241231
SONASID,850.0,983.9,0.1575,170004907.8,184387.0,64.0,20241231
SOTHEMA,960.0,925.0,-0.0365,20246439.2,21682.0,61.0,20241231
STOKVIS NORD AFRIQUE,15.84,16.37,0.0335,3714985.85,236476.0,64.0,20241231
STROC INDUSTRIE,60.79,42.05,-0.30829999999999996,4495560.52,91368.0,64.0,20241231
TAQA MOROCCO,1450.0,1340.0,-0.0759,543917857.0,377428.0,64.0,20241231
TGCC S.A,424.0,476.0,0.1226,1034621121.15,2351198.0,64.0,20241231
TOTALENERGIES MARKETING,1740.0,1500.0,-0.1379,90830806.0,58591.0,62.0,20241231
UNIMER,174.9,170.0,-0.027999999999999997,1554486.0,9043.0,4.0,20241231
WAFA ASSURANCE,4500.0,4460.0,-0.0089,85016177.0,19270.0,45.0,20241231
ZELLIDJA S.A,147.95,102.0,-0.3106,65590.47,595.0,20.0,20241231
